"tourney_id","rank_P_1","rank_P_2","match_num","tourney_date_P_1","id_P_1","id_P_2","name_P_1","name_P_2","tourney_name","Win_P_1"
"2021-580",21,166,174,20210208,105777,106109,"Grigor Dimitrov","Alex Bolt","Australian Open",1
"2022-6116",56,95,277,20220725,206909,111442,"Brandon Nakashima","Jordan Thompson","Atlanta",1
"2020-560",17,25,198,20200831,133430,126203,"Denis Shapovalov","Taylor Fritz","Us Open",1
"2022-0741",24,32,288,20220620,200282,132283,"Alex De Minaur","Lorenzo Sonego","Eastbourne",1
"2018-7650",96,82,284,20180625,105575,105539,"Ricardas Berankis","Evgeny Donskoy","Antalya",1
"2022-0421",28,27,240,20220808,111575,202103,"Karen Khachanov","Francisco Cerundolo","Canada Masters",1
"2021-540",9,19,222,20210628,126610,200000,"Matteo Berrettini","Felix Auger Aliassime","Wimbledon",1
"2020-580",122,149,113,20200120,104731,125802,"Kevin Anderson","Ilya Ivashka","Australian Open",1
"2018-0421",38,13,279,20180806,111575,105807,"Karen Khachanov","Pablo Carreno Busta","Canada Masters",1
"2020-0605",4,9,293,20201116,106421,106043,"Daniil Medvedev","Diego Schwartzman","Tour Finals",1
"2022-2809",76,118,271,20221017,106148,111797,"Roberto Carballes Baena","Nicolas Jarry","Naples",1
"2018-520",10,173,124,20180528,104545,111511,"John Isner","Noah Rubin","Roland Garros",1
"2021-520",92,86,101,20210531,104655,106298,"Pablo Cuevas","Lucas Pouille","Roland Garros",1
"2022-580",10,120,205,20220117,206173,106121,"Jannik Sinner","Taro Daniel","Australian Open",1
"2022-0375",35,19,294,20220131,122330,105138,"Alexander Bublik","Roberto Bautista Agut","Montpellier",1
"2019-M016",42,52,297,20190624,126203,128034,"Taylor Fritz","Hubert Hurkacz","Eastbourne",1
"2019-0421",2,24,293,20190805,104745,105550,"Rafael Nadal","Guido Pella","Canada Masters",1
"2020-560",3,21,219,20200831,106233,200000,"Dominic Thiem","Felix Auger Aliassime","Us Open",1
"2022-580",20,77,212,20220117,104792,200175,"Gael Monfils","Miomir Kecmanovic","Australian Open",1
"2018-M021",7,1,297,20180507,106233,104745,"Dominic Thiem","Rafael Nadal","Madrid Masters",1
"2020-7434",38,62,289,20201109,105357,104468,"John Millman","Gilles Simon","Sofia",1
"2020-9158",100,198,287,20200203,105413,126535,"Andrej Martin","Carlos Taberner","Cordoba",1
"2022-0322",75,93,284,20220516,104755,105357,"Richard Gasquet","John Millman","Geneva",1
"2021-0506",74,97,280,20210301,106329,106148,"Thiago Monteiro","Roberto Carballes Baena","Buenos Aires",1
"2019-0414",59,223,279,20190722,105807,105870,"Pablo Carreno Busta","Yannick Hanfmann","Hamburg",1
"2021-580",16,68,175,20210208,105807,106210,"Pablo Carreno Busta","Jiri Vesely","Australian Open",1
"2021-520",31,39,128,20210531,105932,105583,"Nikoloz Basilashvili","Dusan Lajovic","Roland Garros",1
"2021-9569",28,22,290,20210927,111815,105554,"Cameron Norrie","Daniel Evans","San Diego",1
"2022-540",112,6,172,20220627,200005,134770,"Ugo Humbert","Casper Ruud","Wimbledon",1
"2019-0421",35,60,248,20190805,105526,104542,"Jan Lennard Struff","Jo-Wilfried Tsonga","Canada Masters",1
"2022-0506",104,32,277,20220207,106329,105077,"Thiago Monteiro","Albert Ramos","Buenos Aires",1
"2020-580",30,120,165,20200120,105807,105376,"Pablo Carreno Busta","Peter Gojowczyk","Australian Open",1
"2018-M004",8,86,278,20180226,104731,105430,"Kevin Anderson","Radu Albot","Acapulco",1
"2021-0410",92,56,264,20210412,106065,136440,"Marco Cecchinato","Dominik Koepfer","Monte Carlo Masters",1
"2019-0425",7,31,288,20190422,105453,200000,"Kei Nishikori","Felix Auger Aliassime","Barcelona",1
"2022-560",81,122,154,20220829,126952,104269,"Soon Woo Kwon","Fernando Verdasco","Us Open",1
"2022-0319",20,52,299,20220725,105138,105077,"Roberto Bautista Agut","Albert Ramos","Kitzbuhel",1
"2022-0495",14,111,290,20220221,133430,106121,"Denis Shapovalov","Taro Daniel","Dubai",1
"2022-580",77,146,100,20220117,200175,106099,"Miomir Kecmanovic","Salvatore Caruso","Australian Open",1
"2022-0360",65,55,299,20220404,144684,111513,"Alex Molcan","Laslo Djere","Marrakech",1
"2018-0308",3,118,293,20180430,100644,105870,"Alexander Zverev","Yannick Hanfmann","Munich",1
"2018-580",32,123,210,20180115,126094,104571,"Andrey Rublev","Marcos Baghdatis","Australian Open",1
"2021-520",22,78,104,20210531,200282,105882,"Alex De Minaur","Stefano Travaglia","Roland Garros",1
"2018-7650",30,75,294,20180625,106000,105732,"Damir Dzumhur","Pierre Hugues Herbert","Antalya",1
"2018-520",46,26,119,20180528,105449,105173,"Steve Johnson","Adrian Mannarino","Roland Garros",1
"2018-580",122,46,103,20180115,105357,106432,"John Millman","Borna Coric","Australian Open",1
"2018-M004",8,24,290,20180226,104731,105173,"Kevin Anderson","Adrian Mannarino","Acapulco",1
"2018-M007",47,12,250,20180319,105332,104925,"Benoit Paire","Novak Djokovic","Miami Masters",1
"2019-0311",8,49,270,20190617,104731,111815,"Kevin Anderson","Cameron Norrie","Queen's Club",1
"2018-M006",39,4,261,20180305,104269,105777,"Fernando Verdasco","Grigor Dimitrov","Indian Wells Masters",1
"2018-0311",21,156,279,20180618,106401,104918,"Nick Kyrgios","Andy Murray","Queen's Club",1
"2021-580",72,108,158,20210208,104655,104312,"Pablo Cuevas","Andreas Seppi","Australian Open",1
"2018-6932",1821,110,271,20180219,104665,105589,"Pablo Andujar","Gerald Melzer","Rio de Janeiro",1
"2022-0314",40,180,291,20220718,105077,208502,"Albert Ramos","Dominic Stricker","Gstaad",1
"2019-0605",6,5,300,20191111,126774,106233,"Stefanos Tsitsipas","Dominic Thiem","Tour Finals",1
"2022-0341",49,30,288,20220919,200624,207518,"Sebastian Korda","Lorenzo Musetti","Metz",1
"2022-0352",21,45,280,20221031,126207,207733,"Frances Tiafoe","Jack Draper","Paris Masters",1
"2021-0407",123,193,275,20210301,104918,104898,"Andy Murray","Robin Haase","Rotterdam",1
"2022-9665",88,102,280,20220103,144684,104312,"Alex Molcan","Andreas Seppi","Melbourne",1
"2021-0375",113,40,284,20210222,106296,105932,"Gregoire Barrere","Nikoloz Basilashvili","Montpellier",1
"2019-M014",31,164,297,20191014,126094,110748,"Andrey Rublev","Nikola Milojevic","Moscow",1
"2018-0451",138,451,276,20180101,105806,104890,"Mirza Basic","Andreas Haider Maurer","Doha",1
"2019-0322",45,73,273,20190520,105430,132283,"Radu Albot","Lorenzo Sonego","Geneva",1
"2020-8888",17,82,249,20200106,111575,105882,"Karen Khachanov","Stefano Travaglia","Atp Cup",1
"2022-580",6,93,188,20220117,126094,105575,"Andrey Rublev","Ricardas Berankis","Australian Open",1
"2019-0425",28,13,278,20190422,105550,111575,"Guido Pella","Karen Khachanov","Barcelona",1
"2022-7290",31,71,287,20220425,105077,126952,"Albert Ramos","Soon Woo Kwon","Estoril",1
"2020-560",94,11,208,20200831,105577,105138,"Vasek Pospisil","Roberto Bautista Agut","Us Open",1
"2021-0422",26,15,279,20210816,104545,206173,"John Isner","Jannik Sinner","Cincinnati Masters",1
"2022-0506",107,64,287,20220207,202103,200175,"Francisco Cerundolo","Miomir Kecmanovic","Buenos Aires",1
"2021-8994",10,86,288,20210621,105138,105882,"Roberto Bautista Agut","Stefano Travaglia","Mallorca",1
"2020-M024",6,124,274,20200824,126774,104731,"Stefanos Tsitsipas","Kevin Anderson","Cincinnati Masters",1
"2019-0425",61,71,243,20190422,111456,106121,"Mackenzie Mcdonald","Taro Daniel","Barcelona",1
"2018-0322",51,281,289,20180521,104312,126523,"Andreas Seppi","Bernabe Zapata Miralles","Geneva",1
"2020-0301",34,52,282,20200113,128034,132283,"Hubert Hurkacz","Lorenzo Sonego","Auckland",1
"2022-0496",7,69,298,20220214,126094,126127,"Andrey Rublev","Benjamin Bonzi","Marseille",1
"2018-M007",96,50,203,20180319,105357,105376,"John Millman","Peter Gojowczyk","Miami Masters",1
"2018-M024",3,18,288,20180813,105223,106401,"Juan Martin del Potro","Nick Kyrgios","Cincinnati Masters",1
"2019-0328",12,88,278,20191021,104926,200615,"Fabio Fognini","Alexei Popyrin","Basel",1
"2021-6116",78,29,296,20210726,200325,111815,"Emil Ruusuvuori","Cameron Norrie","Atlanta",1
"2020-9410",64,74,271,20201026,126207,144895,"Frances Tiafoe","Corentin Moutet","Nur-Sultan",1
"2019-M007",58,45,195,20190318,124187,105526,"Reilly Opelka","Jan Lennard Struff","Miami Masters",1
"2020-520",19,86,1105,20200928,106426,104259,"Cristian Garin","Philipp Kohlschreiber","Roland Garros",1
"2019-560",24,137,104,20190826,104527,206173,"Stan Wawrinka","Jannik Sinner","US Open",1
"2018-M009",16,49,241,20180514,106298,104312,"Lucas Pouille","Andreas Seppi","Rome Masters",1
"2019-6932",91,95,271,20190218,106426,109739,"Cristian Garin","Maximilian Marterer","Rio de Janeiro",1
"2022-9410",43,54,279,20221003,122330,134868,"Alexander Bublik","Tallon Griekspoor","Astana",1
"2018-0319",54,40,277,20180730,126610,104468,"Matteo Berrettini","Gilles Simon","Kitzbuhel",1
"2022-0495",11,69,289,20220221,128034,144684,"Hubert Hurkacz","Alex Molcan","Dubai",1
"2018-580",11,243,109,20180115,105807,106186,"Pablo Carreno Busta","Jason Kubler","Australian Open",1
"2022-0352",45,42,259,20221031,207733,126239,"Jack Draper","Arthur Rinderknech","Paris Masters",1
"2019-0321",21,37,292,20190610,200000,104468,"Felix Auger Aliassime","Gilles Simon","Stuttgart",1
"2022-0418",28,112,283,20220801,208029,105332,"Holger Rune","Benoit Paire","Washington",1
"2020-9408",74,103,300,20201012,111513,106065,"Laslo Djere","Marco Cecchinato","Sardinia",1
"2021-8996",57,110,288,20210308,111513,105155,"Laslo Djere","Pedro Sousa","Santiago",1
"2019-0424",89,102,296,20190211,124187,104198,"Reilly Opelka","Guillermo Garcia Lopez","New York",1
"2019-0425",51,92,264,20190422,105526,106198,"Jan Lennard Struff","Hugo Dellien","Barcelona",1
"2022-0451",50,192,275,20220214,122298,105341,"Botic Van De Zandschulp","Thomas Fabbiano","Doha",1
"2020-9404",94,59,280,20201012,110602,111442,"Dennis Novak","Jordan Thompson","Cologne 1",1
"2018-520",188,54,117,20180528,128034,105815,"Hubert Hurkacz","Tennys Sandgren","Roland Garros",1
"2021-9462",47,99,296,20210405,105077,105613,"Albert Ramos","Norbert Gombos","Marbella",1
"2022-560",51,203,174,20220829,104918,207182,"Andy Murray","Emilio Nava","Us Open",1
"2019-0407",14,32,281,20190211,105683,104259,"Milos Raonic","Philipp Kohlschreiber","Rotterdam",1
"2019-0424",87,130,284,20190211,106071,105041,"Bernard Tomic","Lukas Lacko","New York",1
"2022-0410",16,24,250,20220411,106043,111575,"Diego Schwartzman","Karen Khachanov","Monte Carlo Masters",1
"2018-0495",42,56,287,20180226,105216,105526,"Yuichi Sugita","Jan Lennard Struff","Dubai",1
"2021-0407",8,80,274,20210301,126094,106218,"Andrey Rublev","Marcos Giron","Rotterdam",1
"2021-7434",14,112,293,20210927,206173,106078,"Jannik Sinner","Egor Gerasimov","Sofia",1
"2022-0404",45,167,215,20220307,200221,106432,"Alejandro Davidovich Fokina","Borna Coric","Indian Wells Masters",1
"2019-520",78,39,1229,20190527,106228,104755,"Juan Ignacio Londero","Richard Gasquet","Roland Garros",1
"2022-6242",111,60,264,20220822,105376,208103,"Peter Gojowczyk","Jiri Lehecka","Winston-Salem",1
"2019-0407",68,7,299,20190211,104527,105453,"Stan Wawrinka","Kei Nishikori","Rotterdam",1
"2018-M024",102,45,259,20180813,105614,109739,"Bradley Klahn","Maximilian Marterer","Cincinnati Masters",1
"2020-9408",78,54,292,20201012,105643,104665,"Federico Delbonis","Pablo Andujar","Sardinia",1
"2019-M015",16,38,272,20190930,106043,104269,"Diego Schwartzman","Fernando Verdasco","Beijing",1
"2018-0329",32,31,299,20181001,106421,133430,"Daniil Medvedev","Denis Shapovalov","Tokyo",1
"2021-M-DC-2021-FLS-M-RTF-SWE-01",2,94,2,20211202,106421,144707,"Daniil Medvedev","Mikael Ymer","Davis Cup Finals QF: RTF vs SWE",1
"2021-0410",89,388,252,20210412,106099,200031,"Salvatore Caruso","Lucas Catarina","Monte Carlo Masters",1
"2021-0421",2,38,285,20210809,106421,122330,"Daniil Medvedev","Alexander Bublik","Canada Masters",1
"2022-7694",263,71,289,20220516,133297,126952,"Yosuke Watanuki","Soon Woo Kwon","Lyon",1
"2022-0439",120,72,283,20220725,105487,144869,"Facundo Bagnis","Tomas Martin Etcheverry","Umag",1
"2019-M016",36,58,277,20190624,104269,105357,"Fernando Verdasco","John Millman","Eastbourne",1
"2019-M-DC-2019-QLS-M-AUT-CHI-01",95,197,5,20190201,106426,200514,"Cristian Garin","Jurij Rodionov","Davis Cup QLS R1: AUT vs CHI",1
"2018-0499",85,12,274,20180219,126203,105023,"Taylor Fritz","Sam Querrey","Delray Beach",1
"2019-M016",36,62,289,20190624,104269,106228,"Fernando Verdasco","Juan Ignacio Londero","Eastbourne",1
"2021-9426",23,40,295,20210105,200282,105932,"Alex De Minaur","Nikoloz Basilashvili","Antalya",1
"2019-540",288,68,117,20190701,104386,106415,"Janko Tipsarevic","Yoshihito Nishioka","Wimbledon",1
"2018-M016",94,11,293,20180625,105041,106043,"Lukas Lacko","Diego Schwartzman","Eastbourne",1
"2018-M021",42,52,243,20180507,105077,105376,"Albert Ramos","Peter Gojowczyk","Madrid Masters",1
"2018-7434",129,15,299,20180205,105806,104527,"Mirza Basic","Stan Wawrinka","Sofia",1
"2018-0410",24,51,258,20180416,105077,111577,"Albert Ramos","Jared Donaldson","Monte Carlo Masters",1
"2021-0319",33,108,291,20210726,105936,126535,"Filip Krajinovic","Carlos Taberner","Kitzbuhel",1
"2018-540",26,67,197,20180702,105173,106421,"Adrian Mannarino","Daniil Medvedev","Wimbledon",1
"2019-0425",5,28,296,20190422,106233,105550,"Dominic Thiem","Guido Pella","Barcelona",1
"2019-0568",15,60,295,20190916,106432,134770,"Borna Coric","Casper Ruud","St. Petersburg",1
"2019-M020",16,18,296,20181231,106421,105683,"Daniil Medvedev","Milos Raonic","Brisbane",1
"2021-9428",80,46,272,20210201,144895,105077,"Corentin Moutet","Albert Ramos","Murray River Open",1
"2021-0410",27,9,273,20210412,134770,106043,"Casper Ruud","Diego Schwartzman","Monte Carlo Masters",1
"2022-0414",30,56,271,20220718,202103,127157,"Francisco Cerundolo","Daniel Altmaier","Hamburg",1
"2021-0321",62,63,284,20210607,103852,200615,"Feliciano Lopez","Alexei Popyrin","Stuttgart",1
"2019-M014",98,89,283,20191014,106078,105341,"Egor Gerasimov","Thomas Fabbiano","Moscow",1
"2019-M035",10,40,288,20190729,106421,126207,"Daniil Medvedev","Frances Tiafoe","Washington",1
"2019-0410",65,24,284,20190415,126203,106043,"Taylor Fritz","Diego Schwartzman","Monte Carlo Masters",1
"2018-0439",188,51,287,20180716,105477,105916,"Marco Trungelliti","Marton Fucsovics","Umag",1
"2022-0741",32,77,273,20220620,132283,105902,"Lorenzo Sonego","James Duckworth","Eastbourne",1
"2022-0404",7,11,287,20220307,126094,128034,"Andrey Rublev","Hubert Hurkacz","Indian Wells Masters",1
"2022-0319",52,49,297,20220725,105077,124079,"Albert Ramos","Pedro Martinez","Kitzbuhel",1
"2021-520",8,47,171,20210531,103819,105227,"Roger Federer","Marin Cilic","Roland Garros",1
"2020-560",82,89,142,20200831,126207,104312,"Frances Tiafoe","Andreas Seppi","Us Open",1
"2018-540",18,43,184,20180702,106401,104898,"Nick Kyrgios","Robin Haase","Wimbledon",1
"2019-M010",24,72,291,20190610,200282,104312,"Alex De Minaur","Andreas Seppi","s Hertogenbosch",1
"2021-0315",111,138,272,20210712,105216,200514,"Yuichi Sugita","Jurij Rodionov","Newport",1
"2019-580",155,105,118,20190114,106109,106058,"Alex Bolt","Jack Sock","Australian Open",1
"2021-0352",17,47,242,20211101,105807,105332,"Pablo Carreno Busta","Benoit Paire","Paris Masters",1
"2021-5053",1,85,293,20210419,104925,126952,"Novak Djokovic","Soon Woo Kwon","Belgrade",1
"2019-0568",15,64,298,20190916,106432,105311,"Borna Coric","Joao Sousa","St. Petersburg",1
"2019-0421",8,22,277,20190805,111575,104527,"Karen Khachanov","Stan Wawrinka","Canada Masters",1
"2020-7434",35,150,282,20201109,105173,105373,"Adrian Mannarino","Martin Klizan","Sofia",1
"2019-0495",13,88,289,20190225,106432,104607,"Borna Coric","Tomas Berdych","Dubai",1
"2022-560",20,44,111,20220829,200282,105936,"Alex De Minaur","Filip Krajinovic","Us Open",1
"2018-0495",34,112,289,20180226,105936,104571,"Filip Krajinovic","Marcos Baghdatis","Dubai",1
"2021-0438",117,53,273,20211018,104468,111513,"Gilles Simon","Laslo Djere","Moscow",1
"2022-0451",61,12,297,20220214,126239,133430,"Arthur Rinderknech","Denis Shapovalov","Doha",1
"2019-0717",71,127,277,20190408,105023,106216,"Sam Querrey","Bjorn Fratangelo","Houston",1
"2018-0375",44,109,287,20180205,105332,105357,"Benoit Paire","John Millman","Montpellier",1
"2018-580",62,69,147,20180115,105376,105062,"Peter Gojowczyk","Mikhail Kukushkin","Australian Open",1
"2021-540",48,11,198,20210628,105916,106043,"Marton Fucsovics","Diego Schwartzman","Wimbledon",1
"2018-0439",72,38,299,20180716,105550,104898,"Guido Pella","Robin Haase","Umag",1
"2019-0425",7,104,295,20190422,105453,106148,"Kei Nishikori","Roberto Carballes Baena","Barcelona",1
"2019-560",26,92,151,20190826,105332,111790,"Benoit Paire","Brayden Schnur","US Open",1
"2018-0424",91,18,291,20180212,105430,104545,"Radu Albot","John Isner","New York",1
"2022-6932",14,74,295,20220214,106043,104665,"Diego Schwartzman","Pablo Andujar","Rio de Janeiro",1
"2019-M010",62,24,296,20190610,111442,200282,"Jordan Thompson","Alex De Minaur","s Hertogenbosch",1
"2019-0421",2,9,300,20190805,104745,106421,"Rafael Nadal","Daniil Medvedev","Canada Masters",1
"2022-0422",12,75,242,20220815,206173,106423,"Jannik Sinner","Thanasi Kokkinakis","Cincinnati Masters",1
"2018-7694",8,68,299,20180521,106233,105583,"Dominic Thiem","Dusan Lajovic","Lyon",1
"2022-7485",10,36,300,20221017,200000,200624,"Felix Auger Aliassime","Sebastian Korda","Antwerp",1
"2021-0322",75,419,297,20210517,104665,208502,"Pablo Andujar","Dominic Stricker","Geneva",1
"2020-0451",81,15,299,20200106,144895,104527,"Corentin Moutet","Stan Wawrinka","Doha",1
"2018-7694",102,10,294,20180521,111815,104545,"Cameron Norrie","John Isner","Lyon",1
"2018-M024",18,77,249,20180813,106401,106045,"Nick Kyrgios","Denis Kudla","Cincinnati Masters",1
"2018-0314",17,101,298,20180723,105138,111513,"Roberto Bautista Agut","Laslo Djere","Gstaad",1
"2019-0375",90,83,292,20190204,105430,105208,"Radu Albot","Ernests Gulbis","Montpellier",1
"2019-9158",59,114,278,20190204,105550,103893,"Guido Pella","Paolo Lorenzi","Cordoba",1
"2022-0418",13,83,281,20220801,126203,200615,"Taylor Fritz","Alexei Popyrin","Washington",1
"2018-560",11,62,202,20180827,104545,105583,"John Isner","Dusan Lajovic","US Open",1
"2019-M007",453,93,232,20190318,104386,105614,"Janko Tipsarevic","Bradley Klahn","Miami Masters",1
"2020-6932",25,128,300,20200217,106426,126149,"Cristian Garin","Gianluca Mager","ATP Rio de Janeiro",1
"2022-560",3,60,195,20220829,104745,104926,"Rafael Nadal","Fabio Fognini","Us Open",1
"2022-0496",109,168,276,20220214,105732,105062,"Pierre Hugues Herbert","Mikhail Kukushkin","Marseille",1
"2021-520",5,12,218,20210531,126774,105807,"Stefanos Tsitsipas","Pablo Carreno Busta","Roland Garros",1
"2022-6932",63,19,278,20220214,105948,106426,"Federico Coria","Cristian Garin","Rio de Janeiro",1
"2019-560",49,91,145,20190826,132283,104719,"Lorenzo Sonego","Marcel Granollers","US Open",1
"2021-580",14,92,107,20210208,105683,105948,"Milos Raonic","Federico Coria","Australian Open",1
"2019-560",33,19,143,20190826,133430,200000,"Denis Shapovalov","Felix Auger Aliassime","US Open",1
"2018-0451",39,48,294,20180101,126094,106432,"Andrey Rublev","Borna Coric","Doha",1
"2021-9512",119,39,296,20210524,105413,105583,"Andrej Martin","Dusan Lajovic","Belgrade 2",1
"2018-0352",48,20,239,20181029,105311,106065,"Joao Sousa","Marco Cecchinato","Paris Masters",1
"2021-520",1,92,164,20210531,104925,104655,"Novak Djokovic","Pablo Cuevas","Roland Garros",1
"2018-0414",36,113,298,20180723,104919,106075,"Leonardo Mayer","Jozef Kovalik","Hamburg",1
"2019-0337",47,44,272,20191021,105023,105173,"Sam Querrey","Adrian Mannarino","Vienna",1
"2020-M024",55,46,267,20200824,105815,132283,"Tennys Sandgren","Lorenzo Sonego","Cincinnati Masters",1
"2020-0375",132,10,298,20200203,105577,105676,"Vasek Pospisil","David Goffin","Montpellier",1
"2020-520",46,30,1309,20200928,132283,126203,"Lorenzo Sonego","Taylor Fritz","Roland Garros",1
"2020-0506",48,42,292,20200210,104655,105077,"Pablo Cuevas","Albert Ramos","Buenos Aires",1
"2021-5053",47,102,282,20210419,200175,105487,"Miomir Kecmanovic","Facundo Bagnis","Belgrade",1
"2020-7485",90,28,114,20201019,144750,126203,"Lloyd Harris","Taylor Fritz","Antwerp",1
"2021-0404",39,4,295,20211004,126203,100644,"Taylor Fritz","Alexander Zverev","Indian Wells Masters",1
"2021-520",1,5,226,20210531,104925,126774,"Novak Djokovic","Stefanos Tsitsipas","Roland Garros",1
"2022-580",14,3,214,20220117,133430,100644,"Denis Shapovalov","Alexander Zverev","Australian Open",1
"2022-7694",11,47,300,20220516,111815,144684,"Cameron Norrie","Alex Molcan","Lyon",1
"2021-9481",57,137,283,20210405,111513,105943,"Laslo Djere","Federico Gaio","Cagliari",1
"2021-0414",57,127,290,20210712,111513,205734,"Laslo Djere","Thiago Seyboth Wild","Hamburg",1
"2020-580",168,89,117,20200120,124079,136440,"Pedro Martinez","Dominik Koepfer","Australian Open",1
"2018-0451",138,36,289,20180101,105806,103852,"Mirza Basic","Feliciano Lopez","Doha",1
"2022-0425",25,10,296,20220418,200282,111815,"Alex De Minaur","Cameron Norrie","Barcelona",1
"2020-7485",63,25,124,20201019,126207,105583,"Frances Tiafoe","Dusan Lajovic","Antwerp",1
"2020-0424",54,70,277,20200210,200175,126205,"Miomir Kecmanovic","Tommy Paul","New York",1
"2020-0352",35,39,264,20201102,105526,105932,"Jan Lennard Struff","Nikoloz Basilashvili","Paris Masters",1
"2019-6242",30,62,293,20190819,105332,200005,"Benoit Paire","Ugo Humbert","Winston-Salem",1
"2022-0403",39,60,232,20220321,202385,105948,"Jenson Brooksby","Federico Coria","Miami Masters",1
"2018-7163",121,71,289,20180430,104297,104678,"Rogerio Dutra Silva","Viktor Troicki","Istanbul",1
"2021-0418",103,92,256,20210802,106045,103852,"Denis Kudla","Feliciano Lopez","Washington",1
"2019-7485",53,118,283,20191014,126207,120424,"Frances Tiafoe","Yannick Maden","Antwerp",1
"2019-0429",74,46,275,20191014,106415,105430,"Yoshihito Nishioka","Radu Albot","Stockholm",1
"2021-520",10,42,215,20210531,106043,105526,"Diego Schwartzman","Jan Lennard Struff","Roland Garros",1
"2021-580",45,57,110,20210208,122330,105379,"Alexander Bublik","Aljaz Bedene","Australian Open",1
"2022-0403",54,64,176,20220321,111456,136440,"Mackenzie Mcdonald","Dominik Koepfer","Miami Masters",1
"2022-0717",30,53,277,20220404,126207,106218,"Frances Tiafoe","Marcos Giron","Houston",1
"2021-0439",177,86,275,20210719,105561,106210,"Alessandro Giannessi","Jiri Vesely","Umag",1
"2022-0403",103,31,288,20220321,202103,126207,"Francisco Cerundolo","Frances Tiafoe","Miami Masters",1
"2019-0319",69,65,298,20190729,105077,134770,"Albert Ramos","Casper Ruud","Kitzbuhel",1
"2021-0741",27,283,299,20210621,132283,126845,"Lorenzo Sonego","Max Purcell","Eastbourne",1
"2022-0421",23,10,300,20220808,105807,128034,"Pablo Carreno Busta","Hubert Hurkacz","Canada Masters",1
"2021-0315",37,163,297,20210712,122330,105359,"Alexander Bublik","Jason Jung","Newport",1
"2018-M009",28,14,280,20180514,104259,106058,"Philipp Kohlschreiber","Jack Sock","Rome Masters",1
"2019-7480",58,111,276,20190729,111815,106296,"Cameron Norrie","Gregoire Barrere","Los Cabos",1
"2020-560",72,24,120,20200831,106078,105583,"Egor Gerasimov","Dusan Lajovic","Us Open",1
"2018-5014",12,57,292,20181008,105453,105023,"Kei Nishikori","Sam Querrey","Shanghai Masters",1
"2022-2807",9,47,300,20221010,126094,200624,"Andrey Rublev","Sebastian Korda","Gijon",1
"2022-580",88,44,146,20220117,202104,105077,"Sebastian Baez","Albert Ramos","Australian Open",1
"2019-580",9,23,213,20190114,105453,105807,"Kei Nishikori","Pablo Carreno Busta","Australian Open",1
"2018-M014",50,215,271,20181015,105583,106110,"Dusan Lajovic","Filip Horansky","Moscow",1
"2019-0315",15,48,299,20190715,104545,200005,"John Isner","Ugo Humbert","Newport",1
"2020-560",198,110,105,20200831,106283,105155,"Mitchell Krueger","Pedro Sousa","Us Open",1
"2018-M024",29,32,293,20180813,105683,133430,"Milos Raonic","Denis Shapovalov","Cincinnati Masters",1
"2021-0404",36,3,294,20211004,105932,126774,"Nikoloz Basilashvili","Stefanos Tsitsipas","Indian Wells Masters",1
"2021-0403",126,91,175,20210322,106000,104731,"Damir Dzumhur","Kevin Anderson","Miami Masters",1
"2018-M021",32,60,260,20180507,106000,103898,"Damir Dzumhur","Julien Benneteau","Madrid Masters",1
"2022-0352",188,11,279,20221031,104468,126203,"Gilles Simon","Taylor Fritz","Paris Masters",1
"2022-0807",17,82,277,20220221,105807,106214,"Pablo Carreno Busta","Oscar Otte","Acapulco",1
"2022-560",4,17,217,20220829,207989,105227,"Carlos Alcaraz","Marin Cilic","Us Open",1
"2019-7650",63,91,278,20190624,106000,105051,"Damir Dzumhur","Matthew Ebden","Antalya",1
"2019-540",63,19,174,20190701,124187,104527,"Reilly Opelka","Stan Wawrinka","Wimbledon",1
"2018-M006",8,141,245,20180305,105223,200282,"Juan Martin del Potro","Alex De Minaur","Indian Wells Masters",1
"2022-6242",74,78,263,20220822,144707,105948,"Mikael Ymer","Federico Coria","Winston-Salem",1
"2022-560",94,5,116,20220829,123755,126774,"Daniel Elahi Galan","Stefanos Tsitsipas","Us Open",1
"2019-0421",7,62,274,20190805,100644,111815,"Alexander Zverev","Cameron Norrie","Canada Masters",1
"2019-520",2,180,1164,20190527,104745,105870,"Rafael Nadal","Yannick Hanfmann","Roland Garros",1
"2019-9158",92,43,292,20190204,104655,104291,"Pablo Cuevas","Malek Jaziri","Cordoba",1
"2018-0316",75,36,282,20180716,126610,104919,"Matteo Berrettini","Leonardo Mayer","Bastad",1
"2019-M007",25,1,293,20190318,105138,104925,"Roberto Bautista Agut","Novak Djokovic","Miami Masters",1
"2020-520",2,75,1504,20200928,104745,206173,"Rafael Nadal","Jannik Sinner","Roland Garros",1
"2018-M006",109,111,183,20180305,106121,111815,"Taro Daniel","Cameron Norrie","Indian Wells Masters",1
"2020-580",15,92,123,20200120,104527,106000,"Stan Wawrinka","Damir Dzumhur","Australian Open",1
"2018-540",19,84,120,20180702,106298,106045,"Lucas Pouille","Denis Kudla","Wimbledon",1
"2021-560",66,114,137,20210830,200325,111794,"Emil Ruusuvuori","Kamil Majchrzak","Us Open",1
"2018-7650",24,96,293,20180625,105173,105575,"Adrian Mannarino","Ricardas Berankis","Antalya",1
"2020-M009",104,30,260,20200914,105948,105526,"Federico Coria","Jan Lennard Struff","Rome Masters",1
"2020-6932",32,206,287,20200217,106432,205734,"Borna Coric","Thiago Seyboth Wild","ATP Rio de Janeiro",1
