"tourney_id","rank_P_1","rank_P_2","match_num","tourney_date_P_1","id_P_1","id_P_2","name_P_1","name_P_2","tourney_name","Win_P_1"
"2020-8888",2,9,286,20200106,104925,104792,"Novak Djokovic","Gael Monfils","Atp Cup",1
"2021-0407",26,45,297,20210301,106432,105453,"Borna Coric","Kei Nishikori","Rotterdam",1
"2020-M009",31,12,272,20200914,128034,126094,"Hubert Hurkacz","Andrey Rublev","Rome Masters",1
"2018-0308",73,16,288,20180430,109739,106043,"Maximilian Marterer","Diego Schwartzman","Munich",1
"2022-9569",104,115,276,20220919,106045,104269,"Denis Kudla","Fernando Verdasco","San Diego",1
"2019-580",17,55,201,20190114,105683,105732,"Milos Raonic","Pierre Hugues Herbert","Australian Open",1
"2021-520",42,7,131,20210531,105526,126094,"Jan Lennard Struff","Andrey Rublev","Roland Garros",1
"2021-540",6,124,147,20210628,100644,134868,"Alexander Zverev","Tallon Griekspoor","Wimbledon",1
"2019-0499",34,105,291,20190218,105449,103893,"Steve Johnson","Paolo Lorenzi","Delray Beach",1
"2021-0375",15,13,300,20210222,105676,105138,"David Goffin","Roberto Bautista Agut","Montpellier",1
"2021-9428",90,81,268,20210201,105062,106228,"Mikhail Kukushkin","Juan Ignacio Londero","Murray River Open",1
"2022-0404",77,58,192,20220307,105357,105526,"John Millman","Jan Lennard Struff","Indian Wells Masters",1
"2019-M024",3,55,281,20190812,103819,106228,"Roger Federer","Juan Ignacio Londero","Cincinnati Masters",1
"2018-0328",175,21,277,20181022,105967,106065,"Henri Laaksonen","Marco Cecchinato","Basel",1
"2022-0421",10,7,299,20220808,128034,134770,"Hubert Hurkacz","Casper Ruud","Canada Masters",1
"2020-0319",33,68,277,20200907,128034,105311,"Hubert Hurkacz","Joao Sousa","Kitzbuhel",1
"2021-8994",42,45,271,20210621,105173,105526,"Adrian Mannarino","Jan Lennard Struff","Mallorca",1
"2021-8998",52,84,283,20210201,111442,105732,"Jordan Thompson","Pierre Hugues Herbert","Great Ocean Road Open",1
"2022-0337",32,8,291,20221024,105777,126094,"Grigor Dimitrov","Andrey Rublev","Vienna",1
"2021-0438",62,63,276,20211018,105357,126127,"John Millman","Benjamin Bonzi","Moscow",1
"2021-0499",119,74,298,20210104,200624,111815,"Sebastian Korda","Cameron Norrie","Delray Beach",1
"2018-0407",42,259,292,20180212,104898,134868,"Robin Haase","Tallon Griekspoor","Rotterdam",1
"2018-0308",34,54,287,20180430,104259,104999,"Philipp Kohlschreiber","Mischa Zverev","Munich",1
"2018-M021",22,51,251,20180507,106378,106421,"Kyle Edmund","Daniil Medvedev","Madrid Masters",1
"2022-0418",63,34,275,20220801,106401,126205,"Nick Kyrgios","Tommy Paul","Washington",1
"2022-8994",40,48,272,20220620,125802,200325,"Ilya Ivashka","Emil Ruusuvuori","Mallorca",1
"2021-0425",19,11,289,20210419,206173,105138,"Jannik Sinner","Roberto Bautista Agut","Barcelona",1
"2022-0440",70,22,291,20220606,105173,200282,"Adrian Mannarino","Alex De Minaur","s Hertogenbosch",1
"2020-0319",47,79,296,20200907,200175,105643,"Miomir Kecmanovic","Federico Delbonis","Kitzbuhel",1
"2018-0496",99,136,275,20180219,105732,105613,"Pierre Hugues Herbert","Norbert Gombos","Marseille",1
"2021-580",65,35,181,20210208,103852,132283,"Feliciano Lopez","Lorenzo Sonego","Australian Open",1
"2020-M024",34,10,292,20200824,105526,105676,"Jan Lennard Struff","David Goffin","Cincinnati Masters",1
"2019-7648",55,40,282,20190422,126610,105062,"Matteo Berrettini","Mikhail Kukushkin","Budapest",1
"2019-6242",47,50,272,20190819,126094,105077,"Andrey Rublev","Albert Ramos","Winston-Salem",1
"2019-M009",7,263,277,20190513,126774,206173,"Stefanos Tsitsipas","Jannik Sinner","Rome Masters",1
